SN,Region,Site ID,Site Class,Snag Category,Sub Category,Snag Severity,Visit Date,Closing Date,Status,SnagFlag,Open Month,Closed Month
35679,DXB,DXB1290,CLASS C,SHELTER,EXTERNAL LIGHTING BULB FAULTY,MINOR,2025-06-20,2025-06-25,CLOSED,CLOSED_UNIQUE,June-25,June-25
35680,DXB,DXB1290,CLASS C,SHELTER,SITE ID DAMAGED,MINOR,2025-06-20,2025-06-20,CLOSED,CLOSED_UNIQUE,June-25,June-25
35688,AUH,AUH3215,CLASS C,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2025-06-20,2025-11-27,CLOSED,CLOSED_UNIQUE,June-25,November-25
35692,DXB,DXB1832,CLASS C,OTHERS,PLANTATION,MINOR,2025-06-20,2025-06-20,CLOSED,CLOSED_UNIQUE,June-25,June-25
35693,DXB,DXB1832,CLASS C,FIRE SYSTEMS,FIRE SYSTEMS - OTHERS,MINOR,2025-06-20,2025-06-20,CLOSED,CLOSED_UNIQUE,June-25,June-25
35695,DXB,DXB1832,CLASS C,AIR CONDITIONING,AC FILTER REPLACED,MINOR,2025-06-20,2025-06-20,CLOSED,CLOSED_UNIQUE,June-25,June-25
35699,DXB,DXB1832,CLASS C,AIR CONDITIONING,AC COMPRESSOR FAULTY,MAJOR,2025-06-20,2025-06-25,CLOSED,CLOSED_UNIQUE,June-25,June-25
35700,DXB,DXB1832,CLASS C,AIR CONDITIONING,AC CONTACTOR FAULTY,MINOR,2025-06-20,2025-06-20,CLOSED,CLOSED_UNIQUE,June-25,June-25
35703,DXB,DXB2984,CLASS C,AIR CONDITIONING,AC FILTER REPLACED,MINOR,2025-06-20,2025-06-20,CLOSED,CLOSED_UNIQUE,June-25,June-25
35704,DXB,DXB2984,CLASS C,FIRE SYSTEMS,FIRE SYSTEMS - OTHERS,MINOR,2025-06-20,2025-06-20,CLOSED,CLOSED_UNIQUE,June-25,June-25
35710,DXB,RAK2788,CLASS C,BATTERY,AGED BATTERY,MAJOR,2025-06-20,,OPEN,KEEP_OPEN,June-25,
35712,DXB,RAK2788,CLASS C,TI,TI - OTHERS,MINOR,2025-06-20,2025-06-20,CLOSED,CLOSED_UNIQUE,June-25,June-25
35713,DXB,RAK2788,CLASS C,CIVIL,MAIN GATE IS RUSTED AND NEEDS REPAINTING,MINOR,2025-06-20,2025-12-13,CLOSED,CLOSED_UNIQUE,June-25,December-25
35714,DXB,RAK3931,CLASS C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,MINOR,2025-06-20,2025-12-13,CLOSED,CLOSED_UNIQUE,June-25,December-25
35715,DXB,RAK3931,CLASS C,AWL,AWL BULB FAULTY,MINOR,2025-06-20,2025-09-24,CLOSED,CLOSED_UNIQUE,June-25,September-25
35716,DXB,RAK3931,CLASS C,TI,TI - OTHERS,MINOR,2025-06-20,2025-06-20,CLOSED,CLOSED_UNIQUE,June-25,June-25
35717,DXB,RAK3931,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-20,,OPEN,KEEP_OPEN,June-25,
35719,DXB,RAK2717,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2025-06-20,2025-12-18,CLOSED,CLOSED_UNIQUE,June-25,December-25
35721,DXB,RAK2717,CLASS C,AIR CONDITIONING,AC LEAKAGE,MAJOR,2025-06-20,2025-06-30,CLOSED,CLOSED_UNIQUE,June-25,June-25
35724,DXB,RAK2717,CLASS C,SHELTER,EXTERNAL LIGHTING BULB FAULTY,MINOR,2025-06-20,2025-06-20,CLOSED,CLOSED_UNIQUE,June-25,June-25
35725,DXB,RAK2717,CLASS C,MDB,SURGE ARRESTOR FAULTY,MAJOR,2025-06-20,2025-06-30,CLOSED,CLOSED_UNIQUE,June-25,June-25
35726,AUH,AAN3162,CLASS C,SHELTER,SITE ID DAMAGED,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35727,AUH,AAN3162,CLASS C,CIVIL,CIVIL - OTHERS,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
96844,AUH,AAN2055,CLASS A,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,MINOR,2026-03-10,,OPEN,KEEP_OPEN,March-26,
35741,AUH,AAN2033,CLASS A,SHELTER,SHELTER - OTHERS,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35742,AUH,AAN2033,CLASS A,POWER METER,POWER METER CABINET DAMAGED,MAJOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35743,AUH,AAN2033,CLASS A,OTHERS,GARBAGE,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35750,AUH,AAN2033,CLASS A,BATTERY,TEMPERATURE SENSOR,MAJOR,2025-06-21,,OPEN,KEEP_OPEN,June-25,
92766,AUH,AUH0840,CLASS C,BATTERY,TEMPERATURE SENSOR,MAJOR,2026-02-11,2026-02-11,CLOSED,CLOSED_UNIQUE,February-26,February-26
35758,DXB,AJM0947,CLASS C,TI,TI - OTHERS,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35765,AUH,AUG6100,CLASS C,SHELTER,SHELTER - OTHERS,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35768,AUH,AUH3932,CLASS C,CIVIL,MAIN GATE FOUNDATION AND STOPPER NEED REPAIRING,MAJOR,2025-06-21,2025-11-04,CLOSED,CLOSED_UNIQUE,June-25,November-25
35773,AUH,AUH3932,CLASS C,CIVIL,SHELTER BASE NEEDS REPAIRING,MINOR,2025-06-21,2025-11-06,CLOSED,CLOSED_UNIQUE,June-25,November-25
35774,AUH,AUH3932,CLASS C,CIVIL,TOWER STRUCTURE PAINT IS EXFOLIATED,MINOR,2025-06-21,2025-11-06,CLOSED,CLOSED_UNIQUE,June-25,November-25
35775,AUH,AUH3284,CLASS C,MDB,LABELING MISSING,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
92425,AUH,AUH2372,CLASS A,CIVIL,TOWER STRUCTURE PAINT IS EXFOLIATED,MINOR,2026-02-09,,OPEN,KEEP_OPEN,February-26,
35786,AUH,AUH3627,CLASS C,TI,TI - OTHERS,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35787,AUH,AUH3551,CLASS C,CIVIL,SHELTER BASE NEEDS REPAIRING,MINOR,2025-06-21,2025-06-28,CLOSED,CLOSED_UNIQUE,June-25,June-25
35805,DXB,DXN0949,CLASS C,OTHERS,OTHERS,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35808,DXB,DUB0407,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35809,DXB,DXN0931,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35811,DXB,DXN0931,CLASS C,DC SYSTEM,DC SYSTEM - OTHERS,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35825,DXB,DXB2405,CLASS C,SHELTER,SITE ID DAMAGED,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35829,DXB,DUB0429,CLASS C,SHELTER,SITE ID DAMAGED,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35830,AUH,AUH1085,CLASS C,TI,TI - OTHERS,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35836,AUH,IAD0969,CLASS C,TI,TI - OTHERS,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35844,AUH,AUH2904,CLASS A,TI,BTS COOLING FAN FAULTY,MAJOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35849,AUH,AUH2905,CLASS C,TI,BTS COOLING FAN FAULTY,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35856,AUH,AUH2871,CLASS C,TI,BTS COOLING FAN FAULTY,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
97277,AUH,AUH2871,CLASS C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,MINOR,2026-03-12,,OPEN,KEEP_OPEN,March-26,
35859,AUH,AUH2871,CLASS C,CIVIL,BOUNDARY WALL PAINT WORK,MINOR,2025-06-21,2026-03-12,CLOSED,CLOSED_UNIQUE,June-25,March-26
35861,AUH,AUH2871,CLASS C,FIRE SYSTEMS,FIRE ALARM BATTERY FAULTY,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
97281,AUH,AUH2871,CLASS C,CIVIL,SHELTER BASE NEEDS REPAIRING,MINOR,2026-03-12,,OPEN,KEEP_OPEN,March-26,
97282,AUH,AUH2871,CLASS C,CIVIL,SHELTER STEP NEEDS REPAIRING,MINOR,2026-03-12,,OPEN,KEEP_OPEN,March-26,
35865,AUH,AUH2871,CLASS C,MDB,LABELING MISSING,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35870,DXB,DXB1284,CLASS C,POWER METER,POWER METER CABINET DAMAGED,MINOR,2025-06-21,2025-12-18,CLOSED,CLOSED_UNIQUE,June-25,December-25
35875,DXB,DXB1284,CLASS C,SHELTER,SOCKET FAULTY,MINOR,2025-06-21,2025-09-11,CLOSED,CLOSED_UNIQUE,June-25,September-25
35878,DXB,DXB1314,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-21,,OPEN,KEEP_OPEN,June-25,
35879,DXB,DXB1314,CLASS C,SHELTER,SOCKET FAULTY,MINOR,2025-06-21,2026-01-23,CLOSED,CLOSED_UNIQUE,June-25,January-26
35884,DXB,DXN0867,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-21,,OPEN,KEEP_OPEN,June-25,
93190,DXB,DXB3212,CLASS A,OTHERS,GARBAGE,MINOR,2026-02-13,2026-02-13,CLOSED,CLOSED_UNIQUE,February-26,February-26
35887,DXB,DXB3212,CLASS A,POWER METER,POWER METER CABINET DAMAGED,MAJOR,2025-06-21,2025-06-25,CLOSED,CLOSED_UNIQUE,June-25,June-25
93188,DXB,DXB3212,CLASS A,BATTERY,TEMPERATURE SENSOR,MAJOR,2026-02-13,,OPEN,KEEP_OPEN,February-26,
66898,DXB,DXB3212,CLASS A,BATTERY,AGED BATTERY,MAJOR,2025-10-13,2025-12-06,CLOSED,CLOSED_UNIQUE,October-25,December-25
35890,DXB,DXB3212,CLASS A,AIR CONDITIONING,AC FILTER REPLACED,MAJOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35891,DXB,DXB3212,CLASS A,AIR CONDITIONING,AC CONTACTOR FAULTY,MAJOR,2025-06-21,2025-06-25,CLOSED,CLOSED_UNIQUE,June-25,June-25
35892,AUH,AUH3225,CLASS C,SHELTER,EXTERNAL LIGHTING BULB FAULTY,MINOR,2025-06-21,,OPEN,KEEP_OPEN,June-25,
35896,AUH,AUH3225,CLASS C,SHELTER,SOCKET FAULTY,MINOR,2025-06-21,,OPEN,KEEP_OPEN,June-25,
35914,AUH,AUH3309,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-21,,OPEN,KEEP_OPEN,June-25,
35915,AUH,AUH3453,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-21,,OPEN,KEEP_OPEN,June-25,
35953,AUH,AAN2384,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2025-06-21,2025-12-13,CLOSED,CLOSED_UNIQUE,June-25,December-25
35954,AUH,AAN2384,CLASS C,TI,TI - OTHERS,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35955,AUH,AAN2384,CLASS C,SHELTER,SITE ID DAMAGED,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35959,AUH,AAN2004,CLASS C,SHELTER,SITE ID DAMAGED,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35966,AUH,AAN2312,CLASS C,OTHERS,PLANTATION,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35969,DXB,FUJ3264,CLASS C,CIVIL,BOUNDARY WALL PAINT WORK,MINOR,2025-06-21,,OPEN,KEEP_OPEN,June-25,
35970,DXB,FUJ3264,CLASS C,SHELTER,SOCKET FAULTY,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35971,DXB,FUJ3264,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-21,2025-07-18,CLOSED,CLOSED_UNIQUE,June-25,July-25
35980,DXB,FUT3066,CLASS C,CIVIL,BOUNDARY WALL PAINT WORK,MINOR,2025-06-21,,OPEN,KEEP_OPEN,June-25,
35983,DXB,FUJ3277,CLASS C,SHELTER,SITE ID DAMAGED,MINOR,2025-06-21,2025-06-21,CLOSED,CLOSED_UNIQUE,June-25,June-25
35986,AUH,AUH0971,CLASS C,EXTERNAL ALARMS,NOT WORKING,MINOR,2025-06-22,2026-01-23,CLOSED,CLOSED_UNIQUE,June-25,January-26
35992,AUH,AAN2541,CLASS C,AIR CONDITIONING,AC CONTACTOR FAULTY,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
35993,AUH,AAN2541,CLASS C,TI,TI - OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
35997,AUH,AAN2541,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-23,,OPEN,KEEP_OPEN,June-25,
35999,AUH,AAN2541,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2025-06-23,,OPEN,KEEP_OPEN,June-25,
36004,AUH,AAN2856,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-23,,OPEN,KEEP_OPEN,June-25,
36013,DXB,AJM3040,CLASS C,SHELTER,SITE ID DAMAGED,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36014,DXB,AJM3040,CLASS C,SHELTER,SHELTER - OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36017,DXB,AJM2479,CLASS C,FIRE SYSTEMS,FIRE SYSTEMS - OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36018,DXB,AJM2479,CLASS C,CIVIL,SHELTER ROOF REPAIR,MINOR,2025-06-23,2025-12-13,CLOSED,CLOSED_UNIQUE,June-25,December-25
36021,DXB,AJM2479,CLASS C,POWER METER,POWER METER - OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36032,AUH,AUH2924,CLASS A,CIVIL,SHELTER ROOF REPAIR,MINOR,2025-06-23,2025-08-21,CLOSED,CLOSED_UNIQUE,June-25,August-25
36035,AUH,AUH2924,CLASS A,FIRE SYSTEMS,FIRE ALARM BATTERY FAULTY,MAJOR,2025-06-23,2025-07-07,CLOSED,CLOSED_UNIQUE,June-25,July-25
36037,AUH,AUH2924,CLASS A,AWL,AWL BULB FAULTY,MAJOR,2025-06-23,2025-07-07,CLOSED,CLOSED_UNIQUE,June-25,July-25
36038,AUH,AUH2924,CLASS A,CIVIL,CABLE TRAY DAMAGED,MINOR,2025-06-23,2025-08-21,CLOSED,CLOSED_UNIQUE,June-25,August-25
36043,AUH,AUH2927,CLASS A,MDB,CIRCUIT BREAKER FAULTY,MAJOR,2025-06-23,2025-08-27,CLOSED,CLOSED_UNIQUE,June-25,August-25
36045,AUH,AUH2927,CLASS A,FIRE SYSTEMS,FIRE SYSTEMS - OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36059,AUH,AUH2007,CLASS C,AIR CONDITIONING,AC LEAKAGE,MAJOR,2025-06-23,2026-01-10,CLOSED,CLOSED_UNIQUE,June-25,January-26
36060,AUH,AUH2007,CLASS C,FIRE SYSTEMS,FIRE ALARM BATTERY FAULTY,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36062,AUH,AUH3783,CLASS C,CIVIL,SHELTER BASE NEEDS REPAIRING,MINOR,2025-06-23,2025-12-13,CLOSED,CLOSED_UNIQUE,June-25,December-25
36064,AUH,AUH3783,CLASS C,TI,TI - OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36069,DXB,DXB1603,CLASS B,TI,TI - OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36072,DXB,DXB2814,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-23,,OPEN,KEEP_OPEN,June-25,
36075,DXB,DXB1336,CLASS C,SHELTER,SITE ID DAMAGED,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36082,DXB,DXB1336,CLASS C,EXTRA MATERIALS,EM MATERIALS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36085,DXB,IDX0247,CLASS C,OTHERS,OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36086,DXB,IDX0247,CLASS C,EXTRA MATERIALS,OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36087,DXB,IDX0660,CLASS C,OTHERS,OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36088,DXB,IDX0902,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36095,DXB,SHJ2174,CLASS C,TI,TI - OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36096,DXB,SHJ2174,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-23,,OPEN,KEEP_OPEN,June-25,
92201,DXB,SHJ2174,CLASS C,SHELTER,DOOR SENSOR FAULTY,MINOR,2026-02-07,2026-02-07,CLOSED,CLOSED_UNIQUE,February-26,February-26
36108,AUH,AAN2310,CLASS B,SHELTER,INTERNAL LIGHTING BULB FAULTY,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36115,AUH,AAN2433,CLASS C,AIR CONDITIONING,OUTDOOR AC CONDENSER MOTOR FAULTY,MAJOR,2025-06-23,2025-11-27,CLOSED,CLOSED_UNIQUE,June-25,November-25
36116,AUH,AAN2261,CLASS C,OTHERS,PLANTATION,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36118,AUH,AAN2261,CLASS C,TI,TI - OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36121,AUH,AAN2261,CLASS C,CIVIL,BOUNDARY WALL DAMAGED,MINOR,2025-06-23,2025-11-29,CLOSED,CLOSED_UNIQUE,June-25,November-25
36123,AUH,AAN2261,CLASS C,AIR CONDITIONING,OUTDOOR AC CONDENSER MOTOR FAULTY,MAJOR,2025-06-23,2025-11-29,CLOSED,CLOSED_UNIQUE,June-25,November-25
36127,DXB,DXB3554,CLASS C,POWER METER,POWER METER CABINET DAMAGED,MINOR,2025-06-23,2026-01-08,CLOSED,CLOSED_UNIQUE,June-25,January-26
36139,AUH,AUH0579,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-23,,OPEN,KEEP_OPEN,June-25,
36143,DXB,IDX0299,CLASS C,CIVIL,CIVIL - OTHERS,MINOR,2025-06-23,,OPEN,KEEP_OPEN,June-25,
36152,DXB,FUJ3834,CLASS C,SHELTER,SHELTER - OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36153,DXB,FUJ3834,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-23,,OPEN,KEEP_OPEN,June-25,
36156,DXB,FUJ1609,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-23,,OPEN,KEEP_OPEN,June-25,
36165,AUH,AUH2965,CLASS C,TI,BTS COOLING FAN FAULTY,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36169,AUH,AUH2966,CLASS C,CIVIL,"MAIN GATE LOCK, HINGES, AND ALIGNMENT NEED REPAIRING",MAJOR,2025-06-23,2025-11-08,CLOSED,CLOSED_UNIQUE,June-25,November-25
36171,AUH,AUH2966,CLASS C,CIVIL,BOUNDARY WALL PAINT WORK,MINOR,2025-06-23,2025-12-06,CLOSED,CLOSED_UNIQUE,June-25,December-25
36180,AUH,AUH2966,CLASS C,CIVIL,CIVIL - OTHERS,MINOR,2025-06-23,2025-12-06,CLOSED,CLOSED_UNIQUE,June-25,December-25
36181,AUH,AUH2966,CLASS C,FIRE SYSTEMS,FIRE ALARM BATTERY FAULTY,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36182,AUH,AUH2966,CLASS C,SHELTER,SHELTER - OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36189,AUH,AUH2962,CLASS A,MDB,LABELING MISSING,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
76138,AUH,AUH2962,CLASS A,BATTERY,TEMPERATURE SENSOR,MAJOR,2025-11-20,2025-11-24,CLOSED,CLOSED_UNIQUE,November-25,November-25
36198,DXB,DXN0213,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-23,,OPEN,KEEP_OPEN,June-25,
36201,DXB,DXB1044,CLASS B,SHELTER,SITE ID DAMAGED,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36202,DXB,DXB1044,CLASS B,FIRE SYSTEMS,FIRE SYSTEMS - OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36206,DXB,DXB1044,CLASS B,AIR CONDITIONING,AC UNIT BACK COVER INSULATION,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36216,DXB,DXB1450,CLASS C,SHELTER,SOCKET FAULTY,MINOR,2025-06-23,2025-07-03,CLOSED,CLOSED_UNIQUE,June-25,July-25
36225,DXB,DXB1238,CLASS C,AWL,AWL CONTROL PANEL FAULTY,MINOR,2025-06-23,2025-07-02,CLOSED,CLOSED_UNIQUE,June-25,July-25
36226,DXB,DXB2021,CLASS C,SHELTER,SITE ID DAMAGED,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36232,DXB,DXB2021,CLASS C,CIVIL,GROUND LEVELING,MINOR,2025-06-23,2025-12-18,CLOSED,CLOSED_UNIQUE,June-25,December-25
36240,DXB,RAK3185,CLASS C,TI,TI - OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36241,DXB,RAK3185,CLASS C,SHELTER,SITE ID DAMAGED,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36242,DXB,RAK3530,CLASS C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,MINOR,2025-06-23,2025-12-15,CLOSED,CLOSED_UNIQUE,June-25,December-25
36247,DXB,RAK3481,CLASS C,TI,TI - OTHERS,MINOR,2025-06-23,2025-06-23,CLOSED,CLOSED_UNIQUE,June-25,June-25
36265,AUH,AUH2081,CLASS C,CIVIL,SHELTER STEP NEEDS REPAIRING,MINOR,2025-06-23,2025-12-13,CLOSED,CLOSED_UNIQUE,June-25,December-25
36270,AUH,AAN2336,CLASS C,SHELTER,SITE ID DAMAGED,MINOR,2025-06-24,2025-06-24,CLOSED,CLOSED_UNIQUE,June-25,June-25
36272,AUH,AAN2336,CLASS C,CIVIL,SHELTER ROOF WATERPROOFING,MINOR,2025-06-24,,OPEN,KEEP_OPEN,June-25,
36276,AUH,AAN2337,CLASS C,SHELTER,SITE ID DAMAGED,MINOR,2025-06-24,2025-06-24,CLOSED,CLOSED_UNIQUE,June-25,June-25
36277,AUH,AAN2337,CLASS C,BATTERY,TEMPERATURE SENSOR,MINOR,2025-06-24,,OPEN,KEEP_OPEN,June-25,
36279,AUH,AAN2337,CLASS C,POWER METER,POWER METER NOT WORKING,MINOR,2025-06-24,,OPEN,KEEP_OPEN,June-25,
36283,AUH,AAN2308,CLASS C,FIRE SYSTEMS,FIRE ALARM BATTERY FAULTY,MINOR,2025-06-24,2025-06-24,CLOSED,CLOSED_UNIQUE,June-25,June-25
36284,AUH,AAN2308,CLASS C,AWL,AWL BULB FAULTY,MINOR,2025-06-24,2025-12-06,CLOSED,CLOSED_UNIQUE,June-25,December-25
36285,AUH,AAN2308,CLASS C,CIVIL,TOWER FOUNDATION PAINT IS EXFOLIATED,MINOR,2025-06-24,2025-12-06,CLOSED,CLOSED_UNIQUE,June-25,December-25
36286,AUH,AAN2308,CLASS C,CIVIL,CIVIL - OTHERS,MINOR,2025-06-24,2025-12-06,CLOSED,CLOSED_UNIQUE,June-25,December-25
36296,DXB,AJM2173,CLASS C,SHELTER,SITE ID DAMAGED,MINOR,2025-06-24,2025-06-24,CLOSED,CLOSED_UNIQUE,June-25,June-25
36297,DXB,AJM2173,CLASS C,SHELTER,SHELTER - OTHERS,MINOR,2025-06-24,2025-06-24,CLOSED,CLOSED_UNIQUE,June-25,June-25
36302,DXB,AJM1345,CLASS C,DC SYSTEM,DC SYSTEM - OTHERS,MINOR,2025-06-24,2025-06-24,CLOSED,CLOSED_UNIQUE,June-25,June-25
36304,DXB,AJM1345,CLASS C,OTHERS,GARBAGE,MINOR,2025-06-24,2025-06-24,CLOSED,CLOSED_UNIQUE,June-25,June-25
36308,DXB,AJM0898,CLASS C,AIR CONDITIONING,CONTROL PANEL FAULTY,MAJOR,2025-06-24,2025-08-22,CLOSED,CLOSED_UNIQUE,June-25,August-25
36309,DXB,AJM0898,CLASS C,AIR CONDITIONING,AC LEAKAGE,MAJOR,2025-06-24,2025-08-22,CLOSED,CLOSED_UNIQUE,June-25,August-25
36313,AUH,AUH2629,CLASS C,AIR CONDITIONING,AC LEAKAGE,MAJOR,2025-06-24,2025-06-24,CLOSED,CLOSED_UNIQUE,June-25,June-25
36320,DXB,SHJ2207,CLASS C,FIRE SYSTEMS,FIRE SYSTEMS - OTHERS,MINOR,2025-06-24,2025-06-24,CLOSED,CLOSED_UNIQUE,June-25,June-25
36322,DXB,SHJ2207,CLASS C,AWL,AWL CONTROL PANEL FAULTY,MINOR,2025-06-24,2025-07-28,CLOSED,CLOSED_UNIQUE,June-25,July-25
36324,DXB,SHJ2207,CLASS C,AIR CONDITIONING,AC GAS REFILLING,MINOR,2025-06-24,2025-06-24,CLOSED,CLOSED_UNIQUE,June-25,June-25
36325,DXB,SHJ2648,CLASS C,SHELTER,DOOR SENSOR FAULTY,MINOR,2025-06-24,2025-11-05,CLOSED,CLOSED_UNIQUE,June-25,November-25
